experiment,architecture,activation,optimizer,seq_length,gradient_clipping,test_accuracy,test_f1_score,time_per_epoch,test_loss,train_accuracy,val_accuracy,train_loss,val_loss
RNN_tanh_adam_100_clip,RNN,tanh,adam,100,True,0.6781200170516968,0.6753117715118055,18.983731317520142,0.6200160980224609,0.661300003528595,0.6808000206947327,0.622393786907196,0.6277658939361572
LSTM_relu_sgd_50_clip,LSTM,relu,sgd,50,True,0.6622400283813477,0.6505844151936132,20.07667589187622,0.6212853789329529,0.6261000037193298,0.670799970626831,0.6548898220062256,0.6172096133232117
RNN_sigmoid_adam_100_clip,RNN,sigmoid,adam,100,True,0.6184399724006653,0.6184264458968406,16.777253484725954,0.654517650604248,0.8084999918937683,0.6331999897956848,0.43907415866851807,0.7382161617279053
LSTM_tanh_sgd_100_clip,LSTM,tanh,sgd,100,True,0.6073600053787231,0.6000404692548176,38.35120780467987,0.6633647084236145,0.5580000281333923,0.6079999804496765,0.6839743256568909,0.6647732853889465
RNN_sigmoid_adam_100_noclip,RNN,sigmoid,adam,100,False,0.5735200047492981,0.5641999195126055,14.583956289291383,0.6802101731300354,0.7592499852180481,0.6104000210762024,0.5233036875724792,0.709270179271698
RNN_relu_sgd_100_clip,RNN,relu,sgd,100,True,0.5558000206947327,0.5294026982077056,21.842036294937134,0.6869326829910278,0.6082000136375427,0.5565999746322632,0.6605092287063599,0.6898605227470398
RNN_tanh_sgd_100_clip,RNN,tanh,sgd,100,True,0.5012800097465515,0.35294240979857344,13.244609999656678,0.6944568157196045,0.5000500082969666,0.51419997215271,0.7152403593063354,0.6946640610694885
BiLSTM_sigmoid_sgd_50_clip,Bidirectional_LSTM,sigmoid,sgd,50,True,0.501039981842041,0.3337952353035229,22.480749583244325,0.6939904093742371,0.5002999901771545,0.51419997215271,0.6976677179336548,0.693703830242157
BiLSTM_sigmoid_sgd_50_noclip,Bidirectional_LSTM,sigmoid,sgd,50,False,0.501039981842041,0.3337952353035229,23.51498098373413,0.6938705444335938,0.4945000112056732,0.51419997215271,0.6976418495178223,0.6936006546020508
RNN_sigmoid_rmsprop_100_clip,RNN,sigmoid,rmsprop,100,True,0.501039981842041,0.3337952353035229,19.252934789657594,0.6931726336479187,0.4993000030517578,0.51419997215271,0.6937293410301208,0.6928611993789673
